file	approx_seconds	segment
hook_001.jpg	0.00	hook
hook_002.jpg	0.50	hook
hook_003.jpg	1.00	hook
hook_004.jpg	1.50	hook
hook_005.jpg	2.00	hook
hook_006.jpg	2.50	hook
hook_007.jpg	3.00	hook
hook_008.jpg	3.50	hook
hook_009.jpg	4.00	hook
hook_010.jpg	4.50	hook
body_001.jpg	5.00	body
body_002.jpg	7.00	body
body_003.jpg	9.00	body
body_004.jpg	11.00	body
body_005.jpg	13.00	body
body_006.jpg	15.00	body
body_007.jpg	17.00	body
body_008.jpg	19.00	body
body_009.jpg	21.00	body
body_010.jpg	23.00	body
body_011.jpg	25.00	body
body_012.jpg	27.00	body
body_013.jpg	29.00	body
body_014.jpg	31.00	body
body_015.jpg	33.00	body
